style,source_stem,candidate_strength,decision,objective_gate,objective_reasons,perceptual_gate,human_preference,human_notes,priority,bucket,reference_match,candidate_match,match_delta,reference_wer,candidate_wer,wer_delta,reference_mos_delta,candidate_mos_delta,mos_delta_delta,reference_novelty,candidate_novelty,novelty_delta,quality_risk,severe_risk,reference_tag,candidate_tag,reference_audio,candidate_audio
anger,cremad_1006,10,blocked_by_perceptual_tie,pass,,tie,tie,Joe: reference and candidate sound identical; no perceptual candidate advantage.,1,clean_target_gain,0,1,1,0.0000,0.0000,0.0000,-0.6623,-0.5494,0.1129,0.3805,0.3930,0.0125,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1006_anger.wav
fear,male_1_cremad_1003,7.5,blocked_by_reference_preference,pass,,reference,reference,Joe: reference preferred; candidate had an unnatural pitch change; difference was small.,1,clean_target_gain,0,1,1,0.0000,0.0000,0.0000,-0.7188,-0.6636,0.0552,0.4044,0.4731,0.0687,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_1_cremad_1003_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/male_1_cremad_1003_fear.wav
anger,female_1_cremad_1002,10,reject_quality,fail,quality_risk;candidate_wer;wer_delta,tie,tie,Joe: reference and candidate sound identical; no perceptual candidate advantage.,2,target_gain_quality_risk,0,1,1,0.0000,0.7500,0.7500,-0.0247,-0.0111,0.0136,0.2090,0.2796,0.0706,1,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/female_1_cremad_1002_anger.wav
fear,cremad_1003,7.5,reject_quality,fail,severe_risk;quality_risk;candidate_wer;wer_delta,tie,tie,Joe: reference and candidate sound identical; no perceptual candidate advantage.,2,target_gain_quality_risk,0,1,1,0.4286,1.1429,0.7143,-0.5571,-0.3900,0.1671,0.3985,0.4685,0.0700,1,1,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/cremad_1003_fear.wav
fear,female_1_cremad_1002,7.5,reject_quality,fail,quality_risk;candidate_wer;wer_delta,tie,tie,Joe: reference and candidate sound identical; no perceptual candidate advantage.,2,target_gain_quality_risk,0,1,1,0.5000,0.7500,0.2500,-0.8640,-0.0063,0.8577,0.2735,0.3408,0.0673,1,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_fear_s7p5,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_fear.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_fear_s7p5/female_1_cremad_1002_fear.wav
anger,cremad_1003,10,reject_no_target_gain,fail,no_target_gain,unreviewed,unreviewed,,3,novelty_gain_no_recall_gain,1,1,0,0.0000,0.0000,0.0000,-0.0253,-0.0098,0.0155,0.2727,0.3458,0.0731,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1003_anger.wav
anger,cremad_1004,10,reject_no_target_gain,fail,no_target_gain,unreviewed,unreviewed,,3,novelty_gain_no_recall_gain,0,0,0,0.0000,0.0000,0.0000,-0.0207,-0.0038,0.0169,0.3592,0.4302,0.0710,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1004_anger.wav
anger,cremad_1007,10,reject_no_target_gain,fail,no_target_gain;candidate_wer,unreviewed,unreviewed,,3,tie_or_minor_change,0,0,0,0.7500,0.3750,-0.3750,0.0428,0.0707,0.0279,0.3697,0.3707,0.0010,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1007_anger.wav
anger,cremad_1023,10,reject_no_target_gain,fail,no_target_gain,unreviewed,unreviewed,,3,tie_or_minor_change,0,0,0,0.0714,0.0000,-0.0714,0.0151,0.0127,-0.0024,0.2830,0.3072,0.0242,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1023_anger.wav
anger,cremad_1045,10,reject_no_target_gain,fail,no_target_gain,unreviewed,unreviewed,,3,tie_or_minor_change,0,0,0,0.1429,0.2143,0.0714,0.0316,0.0361,0.0045,0.3009,0.3174,0.0165,0,0,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1045_anger.wav
