source_stem,style,reference_tag,candidate_tag,reference_audio,candidate_audio,prefer_reference_or_candidate,reference_target_match_1_5,candidate_target_match_1_5,reference_intelligibility_1_5,candidate_intelligibility_1_5,reference_naturalness_1_5,candidate_naturalness_1_5,reference_identity_shift_1_5,candidate_identity_shift_1_5,notes
cremad_1003,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1003_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1003_anger.wav,,,,,,,,,,
cremad_1004,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1004_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1004_anger.wav,,,,,,,,,,
cremad_1006,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1006_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1006_anger.wav,,,,,,,,,,
cremad_1007,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1007_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1007_anger.wav,,,,,,,,,,
cremad_1023,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1023_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1023_anger.wav,,,,,,,,,,
cremad_1045,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1045_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1045_anger.wav,,,,,,,,,,
cremad_1076,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/cremad_1076_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/cremad_1076_anger.wav,,,,,,,,,,
female_1_cremad_1002,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_1_cremad_1002_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/female_1_cremad_1002_anger.wav,,,,,,,,,,
female_2_cremad_1012,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/female_2_cremad_1012_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/female_2_cremad_1012_anger.wav,,,,,,,,,,
male_1_cremad_1003,anger,mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard,mixed_teacher_cvrare_strength_grid_anger_s10,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_hybrid_style_distill_labeled_warmup_sad_enunc_guard_eval/male_1_cremad_1003_anger.wav,/Users/steve/UVM-plaid/dp-vc/output/mixed_teacher_cvrare_strength_grid/mixed_teacher_cvrare_strength_grid_anger_s10/male_1_cremad_1003_anger.wav,,,,,,,,,,
